************************************************************************
file with basedata            : bridge
initial value random generator: 0123456789
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  32
horizon                       :  1120
RESOURCES
  - renewable                 :  6   R
  - nonrenewable              :  4   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     30      0       XX        0       XX
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
	1	1	3	2	3	8
	2	2	1	4		
	3	2	1	5		
	4	3	1	6		
	5	3	1	7		
	6	2	1	30		
	7	2	1	30		
	8	2	1	9		
	9	3	1	10		
	10	3	1	11		
	11	2	1	12		
	12	2	1	13		
	13	2	1	14		
	14	2	1	15		
	15	2	1	16		
	16	2	1	17		
	17	2	1	18		
	18	2	1	19		
	19	2	1	20		
	20	3	3	21	28	29
	21	2	1	22		
	22	2	3	23	24	25
	23	2	2	26	27	
	24	2	2	26	27	
	25	2	2	26	27	
	26	2	1	30		
	27	2	1	30		
	28	2	1	30		
	29	2	1	30		
	30	1	1	31		
	31	1	1	32		
	32	1	0			
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  R 5  R 6  N 1  N 2  N 3  N 4
------------------------------------------------------------------------
	1   1    0  0   0   0   0	0   0   0   0	0	0   
	2	1	30	3	1	0	0	0	0	0	0	300	0
		2	20	4	2	1	0	0	0	0	0	400	0
	3	1	30	3	1	0	0	0	0	0	0	300	0
		2	20	4	2	1	0	0	0	0	0	400	0
	4	1	40	4	1	1	0	0	2	0	0	400	0
		2	30	5	2	2	0	0	3	0	0	600	0
		3	50	3	1	1	0	0	1	0	0	300	0
	5	1	40	4	1	1	0	0	2	0	0	400	0
		2	30	5	2	2	0	0	1	0	0	600	0
		3	50	3	1	1	0	0	3	0	0	300	0
	6	1	30	3	1	0	0	0	1	0	0	200	30
		2	20	4	2	0	0	0	1	0	0	300	40
	7	1	30	3	1	0	0	0	1	0	0	200	30
		2	20	4	2	0	0	0	1	0	0	300	40
	8	1	50	0	0	0	0	0	2	0	0	0	0
		2	40	0	0	0	0	0	3	0	0	0	0
	9	1	50	5	2	2	0	0	1	0	0	600	0
		2	40	6	3	2	0	0	1	0	0	800	0
		3	60	4	1	1	0	0	2	0	0	400	0
	10	1	30	3	1	0	0	2	1	240	0	360	0
		2	20	4	2	0	0	2	2	200	0	240	0
		3	40	2	1	0	0	1	1	160	0	320	0
	11	1	40	2	0	0	0	0	0	0	0	0	0
		2	50	1	0	0	0	0	0	0	0	0	0
	12	1	40	3	1	0	1	0	1	0	20	100	0
		2	30	4	2	0	2	0	1	0	25	70	0
	13	1	30	3	2	0	2	0	1	0	80	0	0
		2	40	2	1	0	1	0	1	0	100	0	0
	14	1	30	2	2	0	0	1	1	150	0	240	0
		2	20	3	1	0	0	2	1	200	0	180	0
	15	1	40	2	0	0	0	0	0	0	0	0	0
		2	50	1	0	0	0	0	0	0	0	0	0
	16	1	40	3	1	0	1	0	1	0	15	80	0
		2	30	4	2	0	2	0	2	0	20	90	0
	17	1	30	3	2	0	2	0	0	0	50	0	0
		2	40	2	1	0	1	0	0	0	70	0	0
	18	1	30	2	1	0	1	1	1	130	0	180	0
		2	20	3	2	0	2	2	2	150	0	140	0
	19	1	40	2	0	0	0	0	0	0	0	0	0
		2	50	1	0	0	0	0	0	0	0	0	0
	20	1	50	5	1	0	1	0	1	0	100	600	0
		2	40	6	1	0	2	0	1	0	120	500	0
		3	60	4	1	0	1	0	1	0	80	700	0
	21	1	50	4	0	0	1	1	0	280	0	420	0
		2	40	5	0	0	2	2	0	250	0	380	0
	22	1	40	2	0	0	0	0	0	0	0	0	0
		2	50	1	0	0	0	0	0	0	0	0	0
	23	1	30	3	0	0	0	0	0	0	0	50	100
		2	20	4	0	0	0	0	0	0	0	40	120
	24	1	40	2	1	0	0	0	0	0	0	0	300
		2	30	3	1	0	0	0	0	0	0	0	250
	25	1	20	2	1	0	0	0	1	0	0	0	30
		2	15	3	1	0	0	0	1	0	0	0	20
	26	1	30	2	0	0	0	0	1	0	0	0	0
		2	25	3	0	0	0	0	1	0	0	0	0
	27	1	15	2	1	0	0	0	0	0	0	0	0
		2	10	3	1	0	0	0	0	0	0	0	0
	28	1	40	4	1	0	1	0	1	0	30	200	0
		2	30	5	2	0	2	0	2	0	40	250	0
	29	1	30	3	1	0	0	0	1	0	0	0	10
		2	20	4	2	0	0	0	2	0	0	0	15
	30	1	10	1	0	0	0	0	2	0	0	0	0
	31	1	5	2	0	0	0	0	1	0	0	0	0
	32  1   0  0   0   0   0	0   0   0   0	0	0   
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  R 3  R 4  R 5  R 6  N 1  N 2  N 3  N 4
    7    3    2    2    2    3  750  350  4800 480
************************************************************************
